"vendor_cn_date","debit_note_number","key","billed_quantity","month","vendor_name"
2024-09-01,DN201005464,"388_629_NAMRT472H",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_6358_ML22417",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_7085_220910775",18,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_7085_220910775",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_7085_220910775",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_7557_220930342",4,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_8048_22442824",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_8199_BA22490",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_8199_BA22490",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_8199_BA22494",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_8532_AFB22I93",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_8689_220910761",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_9198_M920584",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_9198_M920584",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_9279_4SN0179",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_9581_A620629",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005566,"400_10639_CNU8J004",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_11769_OJG3J004",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_11778_23S2GCA269",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_11923_INP22AW07",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_12008_STZ003",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_12145_GAXD0004",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_12733_2631J004",9,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_13448_2893J009",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_13674_2J79J003",17,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_14134_OJG3J007",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_14301_2HK4J002",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_14301_2HK4J003",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_14356_2D56J007",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_1478_G64A",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_1478_G64A",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_15068_N2102533",4,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_15334_N2202848N",8,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_16095_N2202816",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_16823_EMV221467B",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_17092_HTH0187",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005276,"400_1721_D220284",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_17546_EMV221268",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_17546_EMV221268",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_17548_2BR3K001",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_17952_2NK2J008",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_18970_WPIBJ04",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_2356_WPIBJ04",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_2356_WPIBJ04",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_2468_TF23C108",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_2515_N2102646",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_2558_2HW6J007",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_2560_2JH2J004",5,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_2560_2JH2J004",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005276,"400_262_UFT9J186",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_2791_2FW5K002",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_3270_2X84K010",4,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_3270_2X84K013",4,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_3270_2X84K013",5,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_3270_2X84K013",8,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_3271_2X83K044",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_3271_2X83K048",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_3271_2X83K048",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_4033_SC3Y",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_4050_U202088",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_4374_GE231004",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_4382_K2201885",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_4505_2HG2J013",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_454_2NG417",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_457_2NG015",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_465_RF1922005",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_6917_2BP5J007",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_7015_1F039A",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_7266_INP23CE03",6,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_7266_INP23CE03",10,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_7491_2FY3J004",1,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005567,"400_7491_2FY3J004",4,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_7893_MZA22004",2,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_85_D2200316",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005566,"400_8900_2I15J015",3,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005565,"400_8906_WBNTC014",4,Sep-2024,SHAH MEDICAL STORE
2024-09-01,DN201005564,"400_9706_CD0222001",3,Sep-2024,SHAH MEDICAL STORE
2024-09-02,DN201005484,"359_10785_H113",1,Sep-2024,D K PHARMA
2024-09-02,DN201005484,"359_13016_30TMC012",1,Sep-2024,D K PHARMA
2024-09-02,DN201005113,"371_4250_ORD23119",1,Sep-2024,K.CHIMANLAL  CO
2024-09-02,DN201005115,"375_1047_22S2GCA335",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_12885_M221004",3,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_13672_GCMB0007",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005114,"375_1434_PB0223",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005114,"375_14837_DX10054",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_14892_JHY011",3,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005114,"375_16596_D22G23",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005120,"375_16764_VT230202",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_17542_EMV221248",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_17912_EMV221258C",2,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005117,"375_18736_22442000",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_2088_4C14201",4,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_2219_SID2874A",6,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005150,"375_2322_XT2522009",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_3919_4008815",2,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005116,"375_3919_4008816",2,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005150,"375_3919_4008816",4,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_3919_4008816",7,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005119,"375_409_01650",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005120,"375_4507_2KC6J002",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005150,"375_5415_2220114",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005117,"375_5939_2208223",2,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005118,"375_5939_2208223",7,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_5939_2208223",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005120,"375_6568_BHP040003AK",9,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_7294_N2102304",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005114,"375_8487_BM10",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005150,"375_9570_OD2202",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005115,"375_9869_22490527",1,Sep-2024,MAHENDRA MEDICINES
2024-09-02,DN201005121,"404_16255_GOD22019SH",1,Sep-2024,SHRIJI DISTRIBUTORS
2024-09-02,DN201005122,"407_7334_HLL24001",9,Sep-2024,SHRIJI PHARMA
2024-09-03,DN201005139,"345_21016_T3156",10,Sep-2024,HARIKRUPA CHEMIST
2024-09-03,DN201005130,"370_12889_APQ24028",3,Sep-2024,K B SHAH AND CO
2024-09-03,DN201005136,"370_19127_TLRS0034",1,Sep-2024,K B SHAH AND CO
2024-09-03,DN201005128,"370_4169_63029MN1",1,Sep-2024,K B SHAH AND CO
2024-09-03,DN201005135,"370_6329_THY081",1,Sep-2024,K B SHAH AND CO
2024-09-03,DN201005140,"371_10609_BRE05117A",2,Sep-2024,K.CHIMANLAL  CO
2024-09-03,DN201005140,"371_18821_DY3624002",4,Sep-2024,K.CHIMANLAL  CO
2024-09-03,DN201005134,"399_5167_I403145",1,Sep-2024,SHAH KOTHARI BROS
2024-09-03,DN201005138,"400_5676_E2400738",1,Sep-2024,SHAH MEDICAL STORE
2024-09-03,DN201005123,"401_1138_OO36",3,Sep-2024,SHARDA MEDICAL AGENCY (E)
2024-09-03,DN201005129,"401_7288_HT23576",3,Sep-2024,SHARDA MEDICAL AGENCY (E)
2024-09-04,DN201005158,"345_18619_2208001742",1,Sep-2024,HARIKRUPA CHEMIST
2024-09-04,DN201005158,"345_18619_2308000182",1,Sep-2024,HARIKRUPA CHEMIST
2024-09-04,DN201005157,"356_3356_CL214",2,Sep-2024,ATUL MEDICAL AGENCY
2024-09-04,DN201005154,"370_10481_FHZ0913",1,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005159,"370_19125_PABJS14",2,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005159,"370_19692_I401161",1,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005156,"370_19943_ASM24002",1,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005156,"370_23244_PLKNGK13",1,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005160,"370_23449_EN2402",1,Sep-2024,K B SHAH AND CO
2024-09-04,DN201005161,"396_2920_N240211B",4,Sep-2024,S S HEALTHCARE
2024-09-04,DN201005155,"399_17966_EMV240804A",1,Sep-2024,SHAH KOTHARI BROS
2024-09-04,DN201005153,"399_5867_60001244",4,Sep-2024,SHAH KOTHARI BROS
2024-09-05,DN201005172,"343_23166_L3024226",12,Sep-2024,JINESHWAR PHARMA LLP
2024-09-05,DN201005169,"357_13581_8KU4K004",1,Sep-2024,DHRUVI HEALTHCARE PVT LTD
2024-09-05,DN201005181,"357_23164_AHA182",1,Sep-2024,DHRUVI HEALTHCARE PVT LTD
2024-09-05,DN201005165,"370_11556_SIE2167A",1,Sep-2024,K B SHAH AND CO
2024-09-05,DN201005165,"370_15408_I401073",1,Sep-2024,K B SHAH AND CO
2024-09-05,DN201005171,"370_19497_Z05BG24001",2,Sep-2024,K B SHAH AND CO
2024-09-05,DN201005166,"370_4054_K2400802",1,Sep-2024,K B SHAH AND CO
2024-09-05,DN201005180,"370_8742_MYC22T01",2,Sep-2024,K B SHAH AND CO
2024-09-05,DN201005174,"371_3260_AL610",1,Sep-2024,K.CHIMANLAL  CO
2024-09-05,DN201005179,"396_20266_1903759",1,Sep-2024,S S HEALTHCARE
2024-09-05,DN201005168,"399_15339_N2401426",1,Sep-2024,SHAH KOTHARI BROS
2024-09-05,DN201005178,"400_15982_BRVTA3006A",6,Sep-2024,SHAH MEDICAL STORE
2024-09-05,DN201005167,"400_4054_K2400802",1,Sep-2024,SHAH MEDICAL STORE
2024-09-05,DN201005170,"405_3248_O280",4,Sep-2024,SURYA PHARMA  AGENCY
2024-09-06,DN201005187,"322_19205_FHB0205",1,Sep-2024,AHMEDABAD MEDICAL CORPORATION
2024-09-06,DN201005184,"347_6272_D630685A",10,Sep-2024,ARHAM AGENCY
2024-09-06,DN201005183,"378_19094_MT235593",1,Sep-2024,MAHESH MEDICAL STORES
2024-09-06,DN201005188,"386_10830_VPIAE14",1,Sep-2024,PARAS DISTRIBUTORS
2024-09-06,DN201005185,"399_3962_D224391",4,Sep-2024,SHAH KOTHARI BROS
2024-09-06,DN201005186,"404_13944_TTF2412",1,Sep-2024,SHRIJI DISTRIBUTORS
2024-09-07,DN201005196,"356_6491_C22IRH30028",74,Sep-2024,ATUL MEDICAL AGENCY
2024-09-07,DN201005198,"370_10748_BCB001724A",9,Sep-2024,K B SHAH AND CO
2024-09-07,DN201005189,"370_19100_MNGY0046",1,Sep-2024,K B SHAH AND CO
2024-09-07,DN201005190,"370_8116_CR0034C",1,Sep-2024,K B SHAH AND CO
2024-09-07,DN201005198,"370_8967_NZF23003",1,Sep-2024,K B SHAH AND CO
2024-09-07,DN201005191,"400_15342_N2401298",1,Sep-2024,SHAH MEDICAL STORE
2024-09-07,DN201005195,"401_4378_K2400680",9,Sep-2024,SHARDA MEDICAL AGENCY (E)
2024-09-09,DN201005199,"356_6491_C22IRH30028",6,Sep-2024,ATUL MEDICAL AGENCY
2024-09-09,DN201005201,"370_970_LM852",2,Sep-2024,K B SHAH AND CO
2024-09-09,DN201005205,"371_1554_KBD2273A",2,Sep-2024,K.CHIMANLAL  CO
2024-09-09,DN201005203,"371_19208_SGS24008",2,Sep-2024,K.CHIMANLAL  CO
2024-09-09,DN201005204,"401_12017_EKK0021",2,Sep-2024,SHARDA MEDICAL AGENCY (E)
2024-09-09,DN201005202,"401_3400_DMBS0096",8,Sep-2024,SHARDA MEDICAL AGENCY (E)
2024-09-09,DN201005200,"417_3400_DMBS0093",1,Sep-2024,VPD MEDI INDIA PRIVATE LIMITED
2024-09-10,DN201005219,"352_2195_SPA221168",10,Sep-2024,ASCLEPIUS HEALTH WORLD
2024-09-10,DN201005222,"357_13714_MPB240839",1,Sep-2024,DHRUVI HEALTHCARE PVT LTD
2024-09-10,DN201005780,"370_10246_DD122409",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_1029_GASD22002",6,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005805,"370_1029_GASD22002",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_10410_083F009",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_10585_SID2886A",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_10585_SID2886A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_10587_SID2887A",10,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_10590_GKD1708A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_10743_PLCHE221003",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005224,"370_10748_BCB003823A",9,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005805,"370_10773_GTD2251A",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005217,"370_10798_51524QU",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_10842_E16JN21008",3,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11067_BRB10253A",5,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_11073_C9ABV022",4,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11115_SID2634A",20,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_11277_AREB23018",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_11319_CR22124",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11384_GKD1695A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11385_GKD1696A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_11438_GKD1669A",3,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_11551_SID2840A",6,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11551_SID2840A",19,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005805,"370_11689_SY08522J",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_11754_SID1077A",3,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_11898_AB21020",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_12094_SA22878",4,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_12255_SIC2825A",3,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_12255_SIC2825A",6,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_1228_4230062",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_1228_4230064",15,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005803,"370_1228_4230064",5,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_12396_M221270",5,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_12405_SIE0353A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_1242_852200756",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_1256_Z05AK22015",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_12713_GTD1844A",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_12713_GTD2182A",4,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_12749_GKD1764A",6,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_12755_GKD1763A",7,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_1275_B0AGV044",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_12874_GTYA22004",3,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_12874_GTYA22004",9,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_12874_GTYA22006",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_12999_18210899",7,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005767,"370_13049_F8HPW006",5,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_1319_2331024K",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005569,"370_13215_I204045",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_13251_WA8W",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_13341_A710537",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_13343_A710496",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_13373_R230290",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_13403_AEH2582",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_13732_4230066",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_13804_1230387",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005577,"370_13804_1230546",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005805,"370_13900_GTD2020A",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_14064_0AAIV031",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005805,"370_14438_F6IAV016",2,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005811,"370_14442_GT16322",4,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_14558_053D011",7,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005803,"370_1506_PFOAU30",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005766,"370_1506_PFOAU31",4,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005812,"370_15131_013D088",1,Sep-2024,K B SHAH AND CO
2024-09-10,DN201005782,"370_15300_ADG0368",4,Sep-2024,K B SHAH AND CO
