PN_Date,CN_Date,Pick_Note,Credit_Note,Key,Vendor,Original_PN_Qty,Original_CN_Qty,PN_Qty,CN_Qty,PN_Remaining,CN_Remaining,Remarks
2024-10-06,2024-10-11,PR201008168,DN201006156,370_14717_C0GKV019,K B SHAH AND CO,6,6,6,6,0,0,Exact Match
2024-11-07,2024-11-15,PR201008579,DN201006653,370_14717_C0GKV019,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009080,,375_12065_01S22002,MAHENDRA MEDICINES,9,0,9,0,9,0,PN Exceeds
,2024-09-03,,DN201005130,370_12889_APQ24028,K B SHAH AND CO,0,3,0,3,0,3,CN Exceeds
2024-12-06,2024-12-24,PR201008980,DN301006728,357_4527_E31346,DHRUVI HEALTHCARE PVT LTD,1,1,1,1,0,0,Exact Match
2024-10-10,,PR201008258,,369_11878_U102367,K S PHARMA,2,0,2,0,2,0,PN Exceeds
2024-10-23,,PR201008411,,369_11878_U102367,K S PHARMA,6,0,6,0,6,0,PN Exceeds
2024-12-18,,PR201009228,,369_11152_A23032SU,K S PHARMA,1,0,1,0,1,0,PN Exceeds
,2024-09-19,,DN201005540,356_1207_WBABC012,ATUL MEDICAL AGENCY,0,17,0,17,0,17,CN Exceeds
,2024-09-05,,DN201005165,370_11556_SIE2167A,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
,2025-01-04,,DN301006738,370_19314_OTHS0051,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
,2025-01-07,,DN301006796,397_7534_J200675,SANJIVANI MEDICINES PRIVATE LIMITED,0,1,0,1,0,1,CN Exceeds
,2024-09-14,,DN201006056,386_14720_VM20401,PARAS DISTRIBUTORS,0,3,0,3,0,3,CN Exceeds
2024-11-14,2024-11-19,PR201008696,DN201006527,399_15339_N2203762,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
2024-12-18,,PR201009261,,399_15339_N2203762,SHAH KOTHARI BROS,1,0,0,0,1,0,PN Exceeds
2024-10-10,,PR201008289,,397_14106_J12003,SANJIVANI MEDICINES PRIVATE LIMITED,1,0,1,0,1,0,PN Exceeds
,2024-09-10,,DN201005782,370_15301_ZLT21006,K B SHAH AND CO,0,4,0,4,0,4,CN Exceeds
,2024-09-10,,DN201005767,370_13049_F8HPW006,K B SHAH AND CO,0,5,0,5,0,5,CN Exceeds
,2024-09-19,,DN201005860,370_13049_F8HPW006,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-12-18,2024-09-14,PR201009250,DN201006058,386_3673_DT2208,PARAS DISTRIBUTORS,1,1,1,1,0,0,Exact Match
,2024-09-14,,DN201006060,386_3673_DT2208,PARAS DISTRIBUTORS,0,1,0,0,0,1,CN Exceeds
,2024-09-16,,DN201005711,359_16442_CJ2106,D K PHARMA,0,1,0,1,0,1,CN Exceeds
2024-10-06,2024-10-12,PR201008196,DN201006208,399_10592_N2103406,SHAH KOTHARI BROS,6,6,6,6,0,0,Exact Match
2024-10-03,2024-10-19,PR201008030,DN201006261,399_23054_GTF1455A,SHAH KOTHARI BROS,15,15,15,15,0,0,Exact Match
2024-11-19,2024-11-20,PR201008821,DN201006149,417_5832_A01812401,VPD MEDI INDIA PRIVATE LIMITED,1,1,1,1,0,0,Exact Match
,2024-12-11,,DN201006452,342_13921_EP0015,J.R.SHAH AND COMPANY,0,2,0,2,0,2,CN Exceeds
2024-12-26,,PR201009322,,370_17250_E2200154,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
,2024-09-03,,DN201005135,370_6329_THY081,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-12-12,,PR201009072,,370_19127_TLRS0030,K B SHAH AND CO,2,0,2,0,2,0,PN Exceeds
2024-10-02,2024-10-03,PR201008019,DN201005613,370_7326_722300332,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-11-16,,PR201008794,,407_19281_05222425,SHRIJI PHARMA,7,0,7,0,7,0,PN Exceeds
2024-12-17,,PR201009187,,375_11847_JMU012003AS,MAHENDRA MEDICINES,3,0,3,0,3,0,PN Exceeds
2024-12-27,,PR201009339,,375_11847_JMU012003AS,MAHENDRA MEDICINES,3,0,3,0,3,0,PN Exceeds
2024-12-12,2024-12-16,PR201009126,DN301006845,407_10783_M661,SHRIJI PHARMA,1,1,1,1,0,0,Exact Match
,2024-09-13,,DN201005833,399_12348_FHZ0830,SHAH KOTHARI BROS,0,1,0,1,0,1,CN Exceeds
2024-10-23,2024-12-09,PR201008437,DN301006844,407_12441_SPX253,SHRIJI PHARMA,1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009104,,399_5777_SID0482A,SHAH KOTHARI BROS,30,0,30,0,30,0,PN Exceeds
2024-12-12,,PR201009112,,399_5777_SID0482A,SHAH KOTHARI BROS,2,0,2,0,2,0,PN Exceeds
2024-12-12,2024-09-01,PR201009091,DN201005466,388_13667_220910785,PHARMA DISTRIBUTOR,2,5,2,2,0,3,CN Exceeds
,2024-09-01,,DN201005468,388_13667_220910785,PHARMA DISTRIBUTOR,0,3,0,0,0,6,CN Exceeds
2024-12-12,2024-12-16,PR201009125,DN301006842,407_4762_783SY2301,SHRIJI PHARMA,1,1,1,1,0,0,Exact Match
,2024-12-09,,DN301006708,407_4622_EDD31,SHRIJI PHARMA,0,4,0,4,0,4,CN Exceeds
2024-10-06,2024-09-17,PR201008194,DN201005887,399_1357_23S1GTA270,SHAH KOTHARI BROS,1,2,1,1,0,1,CN Exceeds
,2024-09-17,,DN201005832,399_1357_23S1GTA270,SHAH KOTHARI BROS,0,16,0,0,0,17,CN Exceeds
,2024-10-09,,DN201006191,399_1357_23S1GTA270,SHAH KOTHARI BROS,0,1,0,0,0,18,CN Exceeds
,2024-09-13,,DN201005937,371_10253_51046MN2,K.CHIMANLAL  CO,0,1,0,1,0,1,CN Exceeds
2024-12-27,,PR201009331,,404_4154_OOO6,SHRIJI DISTRIBUTORS,2,0,2,0,2,0,PN Exceeds
,2024-09-01,,DN201005463,388_14664_220910741,PHARMA DISTRIBUTOR,0,8,0,8,0,8,CN Exceeds
,2024-10-01,,DN201005946,400_3270_2X84K018,SHAH MEDICAL STORE,0,5,0,5,0,5,CN Exceeds
2024-10-10,2024-10-11,PR201008265,DN201006331,370_2896_350506D7,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009053,,359_1329_A23001MK,D K PHARMA,1,0,1,0,1,0,PN Exceeds
2024-11-07,2024-12-09,PR201008612,DN301006869,407_1721_D220625,SHRIJI PHARMA,2,2,2,2,0,0,Exact Match
,2024-09-11,,DN201005802,370_5084_DPD230801,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-10-10,,PR201008303,,399_14277_N2203133,SHAH KOTHARI BROS,3,0,3,0,3,0,PN Exceeds
,2024-09-16,,DN201005645,407_13353_16TTN043,SHRIJI PHARMA,0,1,0,1,0,1,CN Exceeds
,2024-10-01,,DN201005981,388_17655_S23108807D,PHARMA DISTRIBUTOR,0,1,0,1,0,1,CN Exceeds
2024-12-06,2024-12-24,PR201008979,DN301006779,357_19545_N2300005,DHRUVI HEALTHCARE PVT LTD,1,1,1,1,0,0,Exact Match
2024-11-14,2024-11-19,PR201008663,DN301006789,370_7273_G7IAV030,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-11-12,2024-11-12,PR201008631,DN201006047,400_3277_K2400880,SHAH MEDICAL STORE,1,1,1,1,0,0,Exact Match
2024-10-23,2024-11-08,PR201008415,DN201006354,370_5357_EPBP22005,K B SHAH AND CO,4,4,4,4,0,0,Exact Match
2024-10-06,,PR201008165,,369_10351_PNT22040,K S PHARMA,1,0,1,0,1,0,PN Exceeds
2024-11-07,,PR201008597,,388_1222_2220357,PHARMA DISTRIBUTOR,1,0,1,0,1,0,PN Exceeds
2024-10-06,2024-11-25,PR201008151,DN201006621,404_4925_ACA2102A,SHRIJI DISTRIBUTORS,1,1,1,1,0,0,Exact Match
2024-10-10,2024-11-25,PR201008310,DN201006620,404_4925_ACA2102A,SHRIJI DISTRIBUTORS,3,3,3,3,0,0,Exact Match
2024-11-07,,PR201008610,,404_4925_ACA2102A,SHRIJI DISTRIBUTORS,3,0,0,0,3,0,PN Exceeds
2024-12-26,2024-12-26,PR201009316,DN201006631,371_4764_BR40028,K.CHIMANLAL  CO,2,2,2,2,0,0,Exact Match
,2024-09-12,,DN201005799,370_16773_VPRS024,K B SHAH AND CO,0,2,0,2,0,2,CN Exceeds
2024-10-02,2024-10-03,PR201008011,DN201005615,417_11645_4SN0132,VPD MEDI INDIA PRIVATE LIMITED,1,1,1,1,0,0,Exact Match
,2024-09-01,,DN201005466,388_2588_J303489,PHARMA DISTRIBUTOR,0,6,0,6,0,6,CN Exceeds
,2024-09-01,,DN201005467,388_2588_J303489,PHARMA DISTRIBUTOR,0,3,0,3,0,3,CN Exceeds
2024-11-20,,PR201008863,,399_13225_KTN2239A,SHAH KOTHARI BROS,1,0,1,0,1,0,PN Exceeds
,2024-09-13,,DN201005665,378_2966_EXP052003AK,MAHESH MEDICAL STORES,0,3,0,3,0,3,CN Exceeds
,2025-01-07,,DN301006796,397_7534_J200676,SANJIVANI MEDICINES PRIVATE LIMITED,0,1,0,1,0,1,CN Exceeds
2024-12-06,,PR201008985,,388_11061_U302752,PHARMA DISTRIBUTOR,6,0,6,0,6,0,PN Exceeds
2024-11-07,,PR201008610,,404_10669_CCP3J006,SHRIJI DISTRIBUTORS,2,0,2,0,2,0,PN Exceeds
,2024-09-25,,DN201005523,400_15338_N2401301,SHAH MEDICAL STORE,0,1,0,1,0,1,CN Exceeds
,2024-09-10,,DN201005806,370_16481_A3515,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-12-18,,PR201009231,,370_19085_HC23016,K B SHAH AND CO,2,0,2,0,2,0,PN Exceeds
2024-10-06,,PR201008179,,371_12897_EZ2019,K.CHIMANLAL  CO,1,0,1,0,1,0,PN Exceeds
2024-10-03,2024-10-18,PR201008029,DN201006255,399_20150_EMV240232A,SHAH KOTHARI BROS,7,7,7,7,0,0,Exact Match
2024-10-10,,PR201008313,,407_6095_1220992,SHRIJI PHARMA,1,0,1,0,1,0,PN Exceeds
,2024-09-13,,DN201005833,399_9410_AB22022,SHAH KOTHARI BROS,0,1,0,1,0,1,CN Exceeds
2024-12-26,,PR201009318,,399_9481_D91W007,SHAH KOTHARI BROS,8,0,8,0,8,0,PN Exceeds
2024-10-16,2024-10-17,PR201008360,DN201005744,370_13708_I402066,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-12-27,,PR201009339,,375_5542_QW10126,MAHENDRA MEDICINES,1,0,1,0,1,0,PN Exceeds
,2024-09-20,,DN201006084,404_16155_22S2GTC503,SHRIJI DISTRIBUTORS,0,1,0,1,0,1,CN Exceeds
2024-11-06,,PR201008550,,384_18541_HLV105,MODI  SHAH BROTHERS,2,0,2,0,2,0,PN Exceeds
2024-11-14,,PR201008681,,384_18541_HLV105,MODI  SHAH BROTHERS,6,0,6,0,6,0,PN Exceeds
2024-11-16,,PR201008776,,384_18541_HLV105,MODI  SHAH BROTHERS,3,0,3,0,3,0,PN Exceeds
2024-12-12,,PR201009086,,384_18541_HLV105,MODI  SHAH BROTHERS,3,0,3,0,3,0,PN Exceeds
,2024-09-19,,DN201005860,370_556_48018252,K B SHAH AND CO,0,11,0,11,0,11,CN Exceeds
,2024-11-20,,DN301006704,359_6886_HH086,D K PHARMA,0,1,0,1,0,1,CN Exceeds
2024-12-12,,PR201009103,,399_3453_GKE0120A,SHAH KOTHARI BROS,1,0,1,0,1,0,PN Exceeds
2024-10-04,2024-11-08,PR201008100,DN201006038,370_1121_2312093,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-10-04,2024-11-07,PR201008097,DN201006031,370_19322_PABJU05,K B SHAH AND CO,2,2,2,2,0,0,Exact Match
2024-12-12,,PR201009074,,370_18775_2312003T,K B SHAH AND CO,2,0,2,0,2,0,PN Exceeds
2024-12-17,,PR201009185,,370_18775_2312003T,K B SHAH AND CO,2,0,2,0,2,0,PN Exceeds
2024-10-23,2024-11-28,PR201008433,DN201006554,399_8833_2124,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
2024-10-10,2024-11-01,PR201008306,DN201006315,400_7895_MZC22004,SHAH MEDICAL STORE,2,2,2,2,0,0,Exact Match
,2024-09-18,,DN201005411,424_117_ACD24003,MONO PHARMACARE LIMITED,0,3,0,3,0,3,CN Exceeds
2024-12-28,,PR201009361,,400_6917_2BP5J010,SHAH MEDICAL STORE,7,0,7,0,7,0,PN Exceeds
,2024-11-20,,DN301006696,359_9145_RF1222037,D K PHARMA,0,1,0,1,0,1,CN Exceeds
2024-10-23,,PR201008416,,370_7160_GKD1889A,K B SHAH AND CO,7,0,7,0,7,0,PN Exceeds
2024-12-18,,PR201009238,,370_7160_GKD1889A,K B SHAH AND CO,3,0,3,0,3,0,PN Exceeds
,2024-11-08,,DN201006396,370_11090_XTRI23006,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
,2024-09-13,,DN201005665,378_6772_KET22035,MAHESH MEDICAL STORES,0,2,0,2,0,2,CN Exceeds
2024-10-10,2024-11-01,PR201008308,DN201006313,400_1307_BH385,SHAH MEDICAL STORE,5,6,5,5,0,1,CN Exceeds
2024-10-23,,PR201008435,,400_1307_BH385,SHAH MEDICAL STORE,3,0,1,1,2,0,PN Exceeds
2024-12-27,,PR201009325,,400_1307_BH385,SHAH MEDICAL STORE,1,0,0,0,3,0,PN Exceeds
,2024-09-13,,DN201005942,371_16889_513352UH,K.CHIMANLAL  CO,0,1,0,1,0,1,CN Exceeds
2024-10-10,2024-10-11,PR201008265,DN201006331,370_11076_H6AIV132,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009106,,399_8438_GTE0025A,SHAH KOTHARI BROS,3,0,3,0,3,0,PN Exceeds
2024-12-28,,PR201009351,,399_8438_GTE0025A,SHAH KOTHARI BROS,5,0,5,0,5,0,PN Exceeds
2024-10-10,2024-10-17,PR201008248,DN201005922,322_18800_EMV221796A,AHMEDABAD MEDICAL CORPORATION,2,2,2,2,0,0,Exact Match
,2024-09-23,,DN201005495,371_16891_ENH064002AK,K.CHIMANLAL  CO,0,2,0,2,0,2,CN Exceeds
2024-12-06,2024-12-09,PR201008981,DN301006843,407_12491_E2301051,SHRIJI PHARMA,4,4,4,4,0,0,Exact Match
,2024-10-01,,DN201005994,388_3050_EC021012,PHARMA DISTRIBUTOR,0,1,0,1,0,1,CN Exceeds
,2024-10-01,,DN201005996,388_3050_EC021012,PHARMA DISTRIBUTOR,0,1,0,1,0,1,CN Exceeds
2024-10-10,2024-10-11,PR201008269,DN201006294,370_10470_48017813,K B SHAH AND CO,2,2,2,2,0,0,Exact Match
2024-12-28,,PR201009359,,411_1713_BTQ2301,V S MEDICAL STORES,2,0,2,0,2,0,PN Exceeds
2024-10-06,2024-10-11,PR201008173,DN201006155,370_12657_JNZ0042,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-10-23,2024-11-28,PR201008432,DN201006551,399_15339_N2203153,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
2024-12-17,,PR201009177,,359_8699_AH30004,D K PHARMA,1,0,1,0,1,0,PN Exceeds
2024-10-23,,PR201008437,,407_1867_596T2230,SHRIJI PHARMA,1,0,1,0,1,0,PN Exceeds
2024-10-24,2024-10-25,PR201008464,DN201005899,351_17062_ST241216,ATLANTIS PHARMA,2,2,2,2,0,0,Exact Match
2024-11-26,2024-11-28,PR201008914,DN201006324,401_8610_DFF4365A,SHARDA MEDICAL AGENCY (E),1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009093,,388_9583_SB20077,PHARMA DISTRIBUTOR,2,0,2,0,2,0,PN Exceeds
,2024-09-25,,DN201005535,399_8091_GKF1049A,SHAH KOTHARI BROS,0,2,0,2,0,2,CN Exceeds
,2024-09-16,,DN201005365,417_1502_GT24208,VPD MEDI INDIA PRIVATE LIMITED,0,1,0,1,0,1,CN Exceeds
2024-12-12,,PR201009116,,400_3269_2Y32J022,SHAH MEDICAL STORE,2,0,2,0,2,0,PN Exceeds
2024-12-12,,PR201009089,,386_6580_MO020223,PARAS DISTRIBUTORS,1,0,1,0,1,0,PN Exceeds
2024-11-07,,PR201008608,,400_832_AR0221004,SHAH MEDICAL STORE,1,0,1,0,1,0,PN Exceeds
2024-11-14,,PR201008708,,400_832_AR0221004,SHAH MEDICAL STORE,17,0,17,0,17,0,PN Exceeds
2024-11-16,,PR201008752,,400_832_AR0221004,SHAH MEDICAL STORE,10,0,10,0,10,0,PN Exceeds
2024-12-12,,PR201009116,,400_832_AR0221004,SHAH MEDICAL STORE,1,0,1,0,1,0,PN Exceeds
2024-12-28,,PR201009361,,400_832_AR0221004,SHAH MEDICAL STORE,3,0,3,0,3,0,PN Exceeds
2024-12-17,2024-12-20,PR201009205,DN301006841,407_10919_Z020123,SHRIJI PHARMA,1,1,1,1,0,0,Exact Match
2024-12-13,2024-12-14,PR201009152,DN201006495,417_15365_Z01BF24088,VPD MEDI INDIA PRIVATE LIMITED,3,3,3,3,0,0,Exact Match
,2024-09-21,,DN201005475,370_23563_66044MN1,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-10-23,2024-12-09,PR201008437,DN301006844,407_1842_CSY22004,SHRIJI PHARMA,2,2,2,2,0,0,Exact Match
,2024-09-10,,DN201005766,370_921_BA22672,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
,2024-09-18,,DN201005658,378_6568_BHP041002AK,MAHESH MEDICAL STORES,0,2,0,2,0,2,CN Exceeds
2024-11-16,2024-12-07,PR201008794,DN301006709,407_13110_WNG0198,SHRIJI PHARMA,1,1,1,1,0,0,Exact Match
2024-10-03,2024-10-04,PR201008022,DN201005632,370_5632_AGIV24002,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-11-16,,PR201008794,,407_14185_U0223003,SHRIJI PHARMA,5,0,5,0,5,0,PN Exceeds
2024-11-06,2024-12-07,PR201008561,DN301006709,407_5498_ALT220941,SHRIJI PHARMA,2,7,2,2,0,5,CN Exceeds
2024-11-14,2024-12-09,PR201008713,DN301006844,407_5498_ALT220941,SHRIJI PHARMA,7,2,7,7,0,0,Exact Match
,2024-09-10,,DN201005577,370_11438_GKD1669A,K B SHAH AND CO,0,3,0,3,0,3,CN Exceeds
,2024-12-06,,DN201006481,375_5179_4F03202,MAHENDRA MEDICINES,0,2,0,2,0,2,CN Exceeds
2024-11-21,,PR201008884,,370_15520_D2210008,K B SHAH AND CO,23,0,23,0,23,0,PN Exceeds
2024-12-18,,PR201009215,,397_8423_MT67X45,SANJIVANI MEDICINES PRIVATE LIMITED,1,0,1,0,1,0,PN Exceeds
,2024-09-14,,DN201005797,370_4168_52015MN1,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
,2024-09-20,,DN201005865,370_4168_52015MN1,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-12-18,,PR201009229,,370_13055_B8HQW002,K B SHAH AND CO,2,0,2,0,2,0,PN Exceeds
2024-11-14,2024-11-23,PR201008676,DN301006909,371_18945_250622005,K.CHIMANLAL  CO,1,1,1,1,0,0,Exact Match
2024-11-20,,PR201008856,,378_15778_DT3523,MAHESH MEDICAL STORES,2,0,2,0,2,0,PN Exceeds
2024-10-06,,PR201008216,,413_11878_U102562,UNITY AGENCY,1,0,1,0,1,0,PN Exceeds
2024-11-06,,PR201008562,,413_11878_U102562,UNITY AGENCY,1,0,1,0,1,0,PN Exceeds
2024-11-16,2024-11-19,PR201008768,DN201006654,370_10743_PLCHE221103,K B SHAH AND CO,1,1,1,1,0,0,Exact Match
2024-11-07,,PR201008579,,370_4724_GT18692,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
2024-12-12,,PR201009059,,370_2149_C8AEW002,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
2024-10-10,,PR201008274,,375_7110_D2300591,MAHENDRA MEDICINES,1,0,1,0,1,0,PN Exceeds
,2024-11-08,,DN201006038,370_9481_D91W019,K B SHAH AND CO,0,2,0,2,0,2,CN Exceeds
2024-12-14,2024-12-16,PR201009160,DN201006500,401_509_V2400127,SHARDA MEDICAL AGENCY (E),1,1,1,1,0,0,Exact Match
2024-11-20,,PR201008863,,399_10651_N2202999,SHAH KOTHARI BROS,3,0,3,0,3,0,PN Exceeds
,2025-01-06,,DN301006758,371_16393_MUC2302,K.CHIMANLAL  CO,0,2,0,2,0,2,CN Exceeds
2024-11-14,2024-11-15,PR201008660,DN201006603,370_563_SA13438,K B SHAH AND CO,3,3,3,3,0,0,Exact Match
2024-12-06,,PR201008985,,388_20202_5230251,PHARMA DISTRIBUTOR,10,0,10,0,10,0,PN Exceeds
2024-12-12,,PR201009094,,388_4700_230110048,PHARMA DISTRIBUTOR,1,0,1,0,1,0,PN Exceeds
2024-12-04,2024-12-05,PR201008971,DN201006388,403_18442_OOO9,SHREEJI HONEY ( INDIA ) PVT LTD,1,1,1,1,0,0,Exact Match
2024-12-12,,PR201009089,,386_1207_WBABD004,PARAS DISTRIBUTORS,14,0,14,0,14,0,PN Exceeds
,2024-11-17,,DN201006443,357_14617_DD122440,DHRUVI HEALTHCARE PVT LTD,0,8,0,8,0,8,CN Exceeds
,2024-09-11,,DN201005232,370_17868_CRD24002,K B SHAH AND CO,0,10,0,10,0,10,CN Exceeds
2024-10-03,2024-10-18,PR201008029,DN201006235,399_4220_T241189,SHAH KOTHARI BROS,3,3,3,3,0,0,Exact Match
2024-12-06,2025-01-17,PR201008986,DN301006916,386_19940_GK30165,PARAS DISTRIBUTORS,1,1,1,1,0,0,Exact Match
,2024-09-16,,DN201005740,359_12975_S2294902J,D K PHARMA,0,1,0,1,0,1,CN Exceeds
2024-11-20,,PR201008863,,399_635_N2103469,SHAH KOTHARI BROS,1,0,1,0,1,0,PN Exceeds
